,Unnamed: 0,2013 Median Price,2012 Median Price,One-Year Change,2008 Median Price,Five-Year Change,2003 Median Price,10-Year Change,2013 Days on Market,2012 Days on Market,One-Year Change.1
0,Abington,"$285,000","$267,000",7%,"$290,000",-2%,"$281,250",1%,89,124,28%
1,Acton,"$481,500","$480,000",0%,"$503,600",-4%,"$474,500",1%,73,121,-40%
2,Amesbury,"$302,500","$251,600",20%,"$265,250",14%,"$315,850",-4%,112,154,-27%
3,Andover,"$545,000","$505,000",8%,"$525,000",4%,"$490,000",11%,71,95,-25%
4,Arlington,"$550,000","$515,000",7%,"$475,242",16%,"$430,000",28%,27,41,-34%
5,Ashland,"$350,000","$308,250",14%,"$414,900",-16%,"$381,000",-8%,68,104,-35%
6,Attleboro,"$248,500","$224,000",11%,"$264,000",-6%,"$275,000",-10%,96,141,-32%
7,Avon,"$267,500","$185,500",44%,"$277,000",-3%,"$276,000",-3%,78,99,-21%
8,Bedford,"$579,000","$510,000",14%,"$500,000",16%,"$454,500",27%,57,86,-34%
9,Belmont,"$791,000","$689,000",15%,"$682,000",16%,"$650,000",22%,44,58,-24%
10,Beverly,"$350,000","$355,000",-1%,"$340,000",3%,"$351,000",0%,74,96,-23%
11,Billerica,"$329,900","$303,000",9%,"$305,000",8%,"$318,375",4%,84,113,-26%
12,Boston,"$2,110,000","$1,950,000",8%,"$1,413,750",49%,"$1,423,750",48%,55,90,-39%
13,Boxborough,"$486,563","$490,000",-1%,"$552,000",-12%,"$559,450",-13%,74,96,-23%
14,Boxford,"$535,000","$461,500",16%,"$544,450",-2%,"$580,000",-8%,129,171,-25%
15,Braintree,"$354,500","$330,000",7%,"$335,000",6%,"$329,000",8%,53,88,-40%
16,Bridgewater,"$314,000","$280,000",12%,"$307,000",2%,"$325,500",-4%,90,141,-36%
17,Brockton,"$179,000","$150,000",19%,"$187,000",-4%,"$233,000",-23%,89,111,-20%
18,Brookline,"$1,237,500","$1,200,000",3%,"$1,006,500",23%,"$853,500",45%,80,101,-21%
19,Burlington,"$412,000","$385,000",7%,"$365,000",13%,"$362,250",14%,60,93,-36%
20,Cambridge,"$854,000","$810,750",5%,"$750,000",14%,"$630,000",36%,35,52,-33%
21,Canton,"$442,000","$382,000",16%,"$439,000",1%,"$415,000",7%,84,119,-29%
22,Carlisle,"$667,000","$618,100",8%,"$756,500",-12%,"$716,375",-7%,87,183,-53%
23,Carver,"$247,950","$218,500",13%,"$265,000",-6%,"$282,500",-12%,95,160,-41%
24,Chelmsford,"$333,475","$315,000",6%,"$325,000",3%,"$330,500",1%,76,101,-25%
25,Chelsea,"$237,000","$189,500",25%,"$190,000",25%,"$277,000",-14%,72,92,-22%
26,Cohasset,"$857,500","$720,000",19%,"$767,500",12%,"$710,000",21%,125,192,-35%
27,Concord,"$810,900","$715,000",13%,"$697,500",16%,"$665,000",22%,84,97,-13%
28,Danvers,"$355,000","$342,400",4%,"$355,000",0%,"$355,000",0%,74,110,-33%
29,Dedham,"$384,500","$325,000",18%,"$360,500",7%,"$349,900",10%,72,89,-19%
30,Dover,"$822,000","$865,000",-5%,"$998,500",-18%,"$859,000",-4%,159,170,-7%
31,Dracut,"$260,000","$230,000",13%,"$263,000",-1%,"$269,000",-3%,91,133,-32%
32,Duxbury,"$550,000","$542,250",1%,"$592,500",-7%,"$570,000",-4%,104,161,-35%
33,East Bridgewater,"$285,000","$255,000",12%,"$299,900",-5%,"$299,900",-5%,97,128,-24%
34,Easton,"$371,000","$364,157",2%,"$350,000",6%,"$368,000",1%,111,147,-25%
35,Essex,"$400,000","$302,500",32%,"$415,000",-4%,"$379,000",6%,137,221,-38%
36,Everett,"$257,750","$237,000",9%,"$250,000",3%,"$295,000",-13%,79,92,-14%
37,Foxboro,"$350,000","$323,000",8%,"$354,000",-1%,"$360,000",-3%,84,120,-30%
38,Framingham,"$335,000","$304,900",10%,"$325,000",3%,"$328,500",2%,62,94,-34%
39,Franklin,"$350,000","$355,000",-1%,"$385,000",-9%,"$374,950",-7%,80,117,-32%
40,Georgetown,"$380,000","$324,900",17%,"$358,250",6%,"$357,000",6%,89,118,-25%
41,Gloucester,"$325,000","$347,000",-6%,"$340,000",-4%,"$365,400",-11%,105,164,-36%
42,Groveland,"$340,000","$313,326",9%,"$325,000",5%,"$351,250",-3%,100,135,-26%
43,Halifax,"$277,250","$243,200",14%,"$266,500",4%,"$315,000",-12%,108,131,-18%
44,Hamilton,"$470,000","$369,900",27%,"$480,000",-2%,"$479,000",-2%,103,150,-31%
45,Hanover,"$388,000","$399,900",-3%,"$382,500",1%,"$410,000",-5%,81,145,-44%
46,Hanson,"$298,700","$255,000",17%,"$280,700",6%,"$295,000",1%,112,138,-19%
47,Haverhill,"$250,000","$220,000",14%,"$262,000",-5%,"$279,000",-10%,94,119,-21%
48,Hingham,"$653,000","$650,000",0%,"$632,500",3%,"$599,000",9%,113,124,-9%
49,Holbrook,"$242,500","$225,000",8%,"$236,900",2%,"$260,000",-7%,67,133,-50%
50,Holliston,"$381,000","$359,950",6%,"$350,000",9%,"$359,000",6%,65,104,-38%
51,Hopkinton,"$520,000","$535,000",-3%,"$557,750",-7%,"$475,000",9%,78,104,-25%
52,Hudson,"$272,000","$265,000",3%,"$290,000",-6%,"$302,750",-10%,84,130,-35%
53,Hull,"$334,500","$300,000",12%,"$345,000",-3%,"$339,900",-2%,120,143,-16%
54,Ipswich,"$434,500","$328,000",32%,"$407,500",7%,"$416,000",4%,128,160,-20%
55,Kingston,"$335,000","$258,000",30%,"$340,000",-1%,"$330,000",2%,141,170,-17%
56,Lakeville,"$260,000","$248,250",5%,"$310,000",-16%,"$309,900",-16%,109,167,-35%
57,Lawrence,"$180,000","$141,300",27%,"$164,950",9%,"$209,900",-14%,88,116,-24%
58,Lexington,"$820,000","$725,000",13%,"$700,000",17%,"$621,100",32%,54,86,-37%
59,Lincoln,"$1,037,500","$850,000",22%,"$1,045,000",-1%,"$983,723",5%,142,148,-4%
60,Littleton,"$391,250","$354,000",11%,"$370,000",6%,"$372,500",5%,81,124,-35%
61,Lowell,"$219,750","$185,000",19%,"$194,950",13%,"$229,500",-4%,95,114,-17%
62,Lynn,"$219,111","$180,000",22%,"$206,250",6%,"$250,000",-12%,86,118,-27%
63,Lynnfield,"$510,000","$433,000",18%,"$487,000",5%,"$471,250",8%,81,121,-33%
64,Malden,"$315,000","$278,000",13%,"$290,000",9%,"$308,000",2%,59,84,-30%
65,Manchester,"$693,500","$692,500",0%,"$730,000",-5%,"$690,000",1%,121,184,-34%
66,Mansfield,"$354,900","$342,400",4%,"$380,000",-7%,"$363,750",-2%,65,99,-34%
67,Marblehead,"$526,000","$480,000",10%,"$510,000",3%,"$485,000",8%,95,144,-34%
68,Marlborough,"$290,000","$250,750",16%,"$300,000",-3%,"$315,000",-8%,73,130,-44%
69,Marshfield,"$362,000","$328,500",10%,"$380,000",-5%,"$369,950",-2%,108,140,-23%
70,Maynard,"$319,500","$274,500",16%,"$318,000",0%,"$295,000",8%,82,132,-38%
71,Medfield,"$573,000","$590,000",-3%,"$540,000",6%,"$477,000",20%,93,121,-23%
72,Medford,"$395,000","$355,000",11%,"$350,000",13%,"$358,500",10%,38,72,-47%
73,Medway,"$370,000","$315,000",17%,"$344,000",8%,"$360,000",3%,82,97,-16%
74,Melrose,"$430,000","$403,000",7%,"$401,500",7%,"$398,900",8%,42,69,-39%
75,Merrimac,"$279,200","$290,000",-4%,"$375,000",-26%,"$300,625",-7%,130,136,-4%
76,Methuen,"$250,000","$235,000",6%,"$255,000",-2%,"$275,000",-9%,86,97,-11%
77,Middleborough,"$259,900","$225,000",16%,"$285,000",-9%,"$279,900",-7%,110,128,-14%
78,Middleton,"$467,000","$456,950",2%,"$417,500",12%,"$529,900",-12%,110,126,-13%
79,Milford,"$264,500","$239,900",10%,"$275,000",-4%,"$300,000",-12%,80,97,-18%
80,Millis,"$340,000","$306,000",11%,"$332,500",2%,"$356,500",-5%,85,112,-24%
81,Milton,"$492,500","$450,000",9%,"$456,000",8%,"$441,500",12%,72,102,-30%
82,Nahant,"$432,500","$388,850",11%,"$450,000",-4%,"$419,000",3%,158,193,-18%
83,Natick,"$440,000","$419,625",5%,"$420,000",5%,"$400,000",10%,59,69,-15%
84,Needham,"$741,000","$670,000",11%,"$645,000",15%,"$560,000",32%,59,101,-42%
85,Newbury,"$410,000","$417,000",-2%,"$450,000",-9%,"$415,500",-1%,110,174,-37%
86,Newburyport,"$496,000","$375,000",32%,"$454,000",9%,"$388,000",28%,95,129,-26%
87,Newton,"$889,000","$780,000",14%,"$760,000",17%,"$645,000",38%,49,75,-35%
88,Norfolk,"$438,750","$389,500",13%,"$465,000",-6%,"$412,750",6%,110,99,11%
89,North Andover,"$462,500","$450,000",3%,"$500,500",-8%,"$456,500",1%,80,134,-40%
90,North Attleborough,"$328,750","$292,000",13%,"$320,000",3%,"$315,000",4%,70,138,-49%
91,North Reading,"$424,950","$390,000",9%,"$407,000",4%,"$399,000",7%,71,119,-40%
92,Norton,"$276,500","$236,500",17%,"$298,250",-7%,"$305,000",-9%,92,131,-30%
93,Norwell,"$575,000","$488,000",18%,"$555,000",4%,"$496,500",16%,139,139,0%
94,Norwood,"$360,000","$330,000",9%,"$356,500",1%,"$348,000",3%,62,88,-30%
95,Peabody,"$320,000","$300,000",7%,"$319,000",0%,"$331,500",-3%,65,95,-32%
96,Pembroke,"$320,000","$290,000",10%,"$331,000",-3%,"$320,000",0%,117,120,-3%
97,Plainville,"$350,000","$295,900",18%,"$352,500",-1%,"$335,000",4%,80,94,-15%
98,Plymouth,"$285,000","$275,000",4%,"$297,750",-4%,"$302,000",-6%,139,158,-12%
99,Plympton,"$315,000","$320,000",-2%,"$320,000",-2%,"$353,000",-11%,170,180,-6%
100,Quincy,"$346,000","$305,000",13%,"$330,000",5%,"$330,000",5%,64,103,-38%
101,Randolph,"$239,950","$215,000",12%,"$259,050",-7%,"$285,000",-16%,75,106,-29%
102,Raynham,"$270,550","$264,000",2%,"$289,839",-7%,"$297,500",-9%,111,119,-7%
103,Reading,"$459,900","$419,950",10%,"$402,000",14%,"$394,400",17%,54,73,-26%
104,Revere,"$255,000","$232,000",10%,"$242,000",5%,"$287,500",-11%,76,94,-19%
105,Rockland,"$235,000","$237,000",-1%,"$245,000",-4%,"$277,700",-15%,104,130,-20%
106,Rockport,"$440,000","$419,000",5%,"$460,000",-4%,"$390,000",13%,116,146,-21%
107,Rowley,"$387,900","$390,000",-1%,"$440,000",-12%,"$434,000",-11%,73,163,-55%
108,Salem,"$300,000","$249,900",20%,"$295,000",2%,"$309,500",-3%,73,122,-40%
109,Salisbury,"$293,000","$255,000",15%,"$289,950",1%,"$280,000",5%,117,145,-19%
110,Saugus,"$295,000","$270,000",9%,"$300,000",-2%,"$325,000",-9%,78,98,-20%
111,Scituate,"$461,000","$410,000",12%,"$445,000",4%,"$465,000",-1%,110,149,-26%
112,Sharon,"$469,900","$410,000",15%,"$358,500",31%,"$410,000",15%,76,112,-32%
