City/Town,2014 Median Price,2013 Median Price,One-Year Price % Change,Five-Year Price % Change,Ten-Year Price % Change,2014 Days on Market,2014 Number of Sales
Abington,303750.0,285000.0,6.6,21.5,-5.7,82.0,124.0
Acton,525000.0,481000.0,9.1,8.9,-3.2,68.0,207.0
Amesbury,295000.0,302500.0,-2.5,1.7,-10.3,101.0,153.0
Andover,579900.0,545000.0,6.4,12.9,8.4,73.0,349.0
Arlington,612000.0,550000.0,11.3,29.2,29.1,23.0,317.0
Ashland,387000.0,350000.0,10.6,18.2,-7.2,68.0,153.0
Attleboro,256500.0,249900.0,2.6,1.1,-18.0,95.0,292.0
Avon,264000.0,267500.0,-1.3,11.9,-9.0,110.0,49.0
Bedford,580000.0,581000.0,-0.2,18.7,12.6,65.0,155.0
Belmont,899000.0,791000.0,13.7,37.8,32.2,36.0,168.0
Beverly,370000.0,350000.0,5.7,14.5,-4.3,68.0,343.0
Billerica,346000.0,330000.0,4.8,11.6,-2.9,79.0,383.0
Boston - Citywide,450000.0,418000.0,7.7,34.3,18.4,59.0,970.0
Boston - Allston,520000.0,535019.0,-2.8,16.9,17.5,41.0,12.0
Boston - Back Bay,7375000.0,6475000.0,13.9,44.6,158.8,333.0,6.0
Boston - Bay Village/South End,2499500.0,1860000.0,34.4,85.8,141.0,79.0,24.0
Boston - Beacon Hill,3175000.0,2592150.0,22.5,24.5,81.4,158.0,29.0
Boston - Brighton,530000.0,480000.0,10.4,24.0,15.2,65.0,29.0
Boston - Charlestown,770000.0,759000.0,1.4,35.7,22.4,49.0,69.0
Boston - N. Dorchester/S. Dorchester,380000.0,350000.0,8.6,33.3,11.8,69.0,133.0
Boston - East Boston,340000.0,305425.0,11.3,83.8,21.4,45.0,35.0
Boston - Hyde Park,337000.0,313500.0,7.5,23.0,2.1,69.0,99.0
Boston - Jamaica Plain,743000.0,625000.0,18.9,36.5,50.1,33.0,63.0
Boston - Mattapan,252000.0,250000.0,0.8,34.8,-15.7,97.0,14.0
Boston - Roslindale,422250.0,411250.0,2.7,27.4,12.6,47.0,126.0
Boston - Roxbury,454000.0,290000.0,56.6,233.8,36.5,45.0,12.0
Boston - South Boston,542750.0,549000.0,-1.1,51.8,46.7,48.0,60.0
Boston - West Roxbury,457000.0,425000.0,7.5,16.4,7.8,43.0,191.0
Boxboro,641333.0,486563.0,31.8,11.2,3.8,100.0,34.0
Boxford,572500.0,535000.0,7.0,12.3,-10.1,124.0,116.0
Braintree,365000.0,354800.0,2.9,10.7,-2.9,58.0,304.0
Bridgewater,310000.0,314250.0,-1.4,8.3,-14.8,87.0,171.0
