City/Town,2015 Median Price,2014 Median Price,One-Year Price % Change,2010 Median Price,Five-Year Price % Change,2005 Median Price,Ten-Year Price % Change,2015 Days on Market,2015 Number of Sales,2015 Best Schools Ranking
Abington,319450.0,310000.0,3.0,605000.0,-47.0,354950.0,-10.0,83.0,152.0,109.0
Acton,566750.0,557944.0,2.0,532500.0,6.0,614116.0,-8.0,71.0,242.0,25.0
Amesbury,325500.0,304499.0,7.0,291000.0,12.0,375000.0,-13.0,100.0,164.0,76.0
Andover,615000.0,579000.0,6.0,521500.0,18.0,597250.0,3.0,80.0,362.0,26.0
Arlington,640750.0,625000.0,3.0,500000.0,28.0,503000.0,27.0,29.0,306.0,37.0
Ashland,400000.0,390000.0,3.0,359900.0,11.0,446000.0,-10.0,55.0,125.0,47.0
Avon,236500.0,269900.0,-12.0,270000.0,-12.0,334250.0,-29.0,102.0,52.0,93.0
Bedford,675000.0,615000.0,10.0,547500.0,23.0,530000.0,27.0,66.0,147.0,5.0
Belmont,909750.0,950000.0,-4.0,703000.0,29.0,709500.0,28.0,56.0,156.0,45.0
Beverly,395000.0,375000.0,5.0,339000.0,17.0,391750.0,1.0,75.0,345.0,90.0
Billerica,369000.0,352750.0,5.0,321250.0,15.0,377500.0,-2.0,69.0,372.0,88.0
Boston - Citywide,475000.0,450000.0,6.0,360000.0,32.0,400000.0,19.0,53.0,995.0,116.0
Boxborough,609000.0,640000.0,-5.0,450000.0,35.0,656450.0,-7.0,56.0,55.0,25.0
Boxford,585000.0,585000.0,0.0,536250.0,9.0,655000.0,-11.0,106.0,107.0,24.0
Braintree,407750.0,373713.0,9.0,340000.0,20.0,382000.0,7.0,59.0,282.0,53.0
Bridgewater,329900.0,321500.0,3.0,298950.0,10.0,379900.0,-13.0,81.0,208.0,100.0
Brockton,223500.0,205000.0,9.0,175000.0,28.0,278000.0,-20.0,86.0,740.0,122.0
Brookline,1625000.0,1570000.0,4.0,1156750.0,40.0,1120000.0,45.0,71.0,175.0,20.0
Burlington,485000.0,455500.0,6.0,387750.0,25.0,415000.0,17.0,68.0,201.0,39.0
Cambridge,1343500.0,1250359.0,7.0,859000.0,56.0,816250.0,65.0,32.0,112.0,31.0
Canton,493000.0,479950.0,3.0,435000.0,13.0,525000.0,-6.0,88.0,195.0,56.0
Carlisle,827500.0,790000.0,5.0,660000.0,25.0,889000.0,-7.0,99.0,64.0,6.0
Carver,298000.0,274500.0,9.0,255000.0,17.0,350000.0,-15.0,121.0,146.0,97.0
Chelmsford,388043.0,370000.0,5.0,346500.0,12.0,373700.0,4.0,62.0,311.0,46.0
Chelsea,307500.0,262000.0,17.0,200000.0,54.0,307000.0,0.0,89.0,34.0,125.0
Cohasset,814000.0,750000.0,9.0,760000.0,7.0,768000.0,6.0,116.0,111.0,33.0
Concord,960000.0,970000.0,-1.0,700000.0,37.0,749900.0,28.0,83.0,191.0,6.0
Danvers,407450.0,362000.0,13.0,331000.0,23.0,405000.0,1.0,68.0,230.0,74.0
Dedham,410000.0,393250.0,4.0,351250.0,17.0,409950.0,0.0,68.0,273.0,57.0
Dover,979444.0,954000.0,3.0,848800.0,15.0,1007000.0,-3.0,171.0,78.0,1.0
Duxbury,590000.0,589938.0,0.0,555000.0,6.0,617500.0,-4.0,124.0,195.0,38.0
East Bridgewater,290000.0,285000.0,2.0,265000.0,9.0,359400.0,-19.0,103.0,140.0,103.0
Easton,415000.0,410000.0,1.0,406200.0,2.0,435500.0,-5.0,107.0,202.0,64.0
Essex,519000.0,500000.0,4.0,552500.0,-6.0,697500.0,-26.0,139.0,45.0,16.0
Everett,319000.0,283500.0,13.0,231000.0,38.0,350000.0,-9.0,73.0,99.0,121.0
Foxboro,384500.0,367500.0,5.0,357000.0,8.0,400000.0,-4.0,94.0,166.0,35.0
Framingham,373000.0,349000.0,7.0,305500.0,22.0,386500.0,-3.0,56.0,625.0,70.0
Franklin,405000.0,405000.0,0.0,377000.0,7.0,439900.0,-8.0,70.0,268.0,51.0
Georgetown,405000.0,403689.0,0.0,401000.0,1.0,459900.0,-12.0,79.0,106.0,62.0
Gloucester,375000.0,380500.0,-1.0,319000.0,18.0,399000.0,-6.0,96.0,208.0,94.0
Groveland,370500.0,344250.0,8.0,300000.0,24.0,395500.0,-6.0,81.0,76.0,54.0
Halifax,294000.0,290000.0,1.0,260000.0,13.0,330000.0,-11.0,113.0,89.0,82.0
Hamilton,493500.0,473000.0,4.0,428000.0,15.0,539000.0,-8.0,99.0,86.0,23.0
Hanover,454500.0,450000.0,1.0,438000.0,4.0,462500.0,-2.0,83.0,150.0,52.0
Hanson,326000.0,295000.0,11.0,288500.0,13.0,363675.0,-10.0,105.0,123.0,110.0
Haverhill,288000.0,274000.0,5.0,251000.0,15.0,330000.0,-13.0,82.0,457.0,114.0
Hingham,767000.0,662500.0,16.0,670000.0,14.0,665000.0,15.0,100.0,257.0,30.0
Holbrook,264000.0,255000.0,4.0,236000.0,12.0,325000.0,-19.0,67.0,135.0,111.0
Holliston,472000.0,445450.0,6.0,380000.0,24.0,449500.0,5.0,80.0,191.0,14.0
Hopkinton,632253.0,582433.0,9.0,525000.0,20.0,582450.0,9.0,86.0,208.0,28.0
Hudson,326000.0,307500.0,6.0,286750.0,14.0,364250.0,-11.0,71.0,170.0,81.0
Hull,350000.0,355000.0,-1.0,296000.0,18.0,384000.0,-9.0,113.0,117.0,71.0
Ipswich,477500.0,458750.0,4.0,387500.0,23.0,526950.0,-9.0,107.0,132.0,59.0
Kingston,379000.0,361450.0,5.0,336000.0,13.0,385000.0,-2.0,134.0,177.0,82.0
Lawrence,209900.0,189000.0,11.0,165250.0,27.0,249700.0,-16.0,80.0,205.0,124.0
Lexington,1000000.0,1050000.0,-5.0,745000.0,34.0,725000.0,38.0,68.0,387.0,3.0
Lincoln,1050000.0,1100000.0,-5.0,1020000.0,3.0,1200000.0,-13.0,103.0,47.0,13.0
Littleton,486900.0,442500.0,10.0,400000.0,22.0,481000.0,1.0,95.0,136.0,44.0
Lowell,245000.0,231000.0,6.0,195000.0,26.0,279900.0,-12.0,83.0,432.0,117.0
Lynn,266000.0,246000.0,8.0,196000.0,36.0,293000.0,-9.0,68.0,549.0,123.0
Lynnfield,600500.0,542500.0,11.0,529000.0,14.0,580000.0,4.0,76.0,144.0,36.0
Malden,360000.0,325000.0,11.0,267000.0,35.0,360000.0,0.0,51.0,235.0,115.0
