City/Town,2021 Price,2020 Price,2019 Price,2Yr %Change ('19-'21),1Yr %Change ('20-'21),1Yr %Change ('19-'20)
Abington,500000,435000,385000,30,15,13
Acton,814500,695000,630000,29,17,10
Amesbury,525000,463000,415000,27,13,12
Andover,840000,738000,675000,24,14,9
Arlington,950000,870000,820000,16,9,6
Ashby,419900,336125,294000,43,25,14
Ashland,562500,488000,502500,12,15,-3
Attleboro,441000,389450,350000,26,13,11
Avon,450000,375000,362500,24,20,3
Ayer,450000,453200,395000,14,-1,15
Bedford,835000,795000,785000,6,5,1
Bellingham,400289,380000,351000,14,5,8
Belmont,1430000,1250000,1140000,25,14,10
Beverly,607500,560000,515000,18,8,9
Billerica,577000,512000,474450,22,13,8
Boston,767500,690000,650000,18,11,6
Boxborough,882500,671500,750000,18,31,-10
Boxford,875000,785000,659000,33,11,19
Braintree,625500,561000,527500,19,11,6
Bridgewater,525000,470000,393000,34,12,20
Brockton,405000,350000,315000,29,16,11
Brookline,2026712,2210000,1937500,5,-8,14
Burlington,707500,621000,595000,19,14,4
Cambridge,1800000,1681000,1548000,16,7,9
Canton,742500,610000,584375,27,22,4
Carlisle,1300000,921250,885000,47,41,4
Carver,465000,390000,345000,35,19,13
Chelmsford,585000,499000,460000,27,17,8
Chelsea,485000,450000,425000,14,8,6
Cohasset,1350000,1110000,942000,43,22,18
Concord,1475000,1165000,1250000,18,27,-7
Danvers,648596,549000,499000,30,18,10
Dedham,630000,595000,520000,21,6,14
Dover,1499000,1345000,1320000,14,11,2
Dracut,485000,415000,375000,29,17,11
Dunstable,670000,576000,586000,14,16,-2
Duxbury,885000,755000,665000,33,17,14
East Bridgewater,467000,409500,366500,27,14,12
Easton,625000,516949,480000,30,21,8
Essex,777500,705000,599000,30,10,18
Everett,547500,500000,459500,19,10,9
Foxborough,596450,520000,470000,27,15,11
Framingham,575000,503000,463500,24,14,9
Franklin,600000,506000,475000,26,19,7
Georgetown,610000,510000,455000,34,20,12
Gloucester,600000,507500,469000,28,18,8
Groton,670000,565000,520450,29,19,9
Groveland,580000,495000,477000,22,17,4
Halifax,470000,415000,365000,29,13,14
Hamilton,778200,630000,600500,30,24,5
Hanover,677500,585000,548000,24,16,7
Hanson,485000,426000,385000,26,14,11
Harvard,800000,655000,615000,30,22,7
Haverhill,460000,411000,355000,30,12,16
Hingham,1125000,875000,797000,41,29,10
Holbrook,435350,390000,360000,21,12,8
Holliston,615000,550000,493450,25,12,11
Hopkinton,871000,707000,675000,29,23,5
Hudson,505000,451000,390500,29,12,15
Hull,555000,491000,432500,28,13,14
Ipswich,770000,642000,587000,31,20,9
Kingston,600000,462500,425500,41,30,9
Lakeville,547525,466000,415000,32,17,12
Lawrence,404500,343000,305000,33,18,12
Lexington,1550000,1350000,1200000,29,15,13
Lincoln,1458750,1375000,1200000,22,6,15
Littleton,605000,602500,510000,19,0,18
Lowell,420000,362000,321225,31,16,13
Lynn,475000,425000,383000,24,12,11
Lynnfield,828500,742500,671300,23,12,11
Malden,605000,546000,505000,20,11,8
Manchester-by-the-Sea,985000,970500,799000,23,1,21
Mansfield,575500,505000,465000,24,14,9
Marblehead,850000,772500,720000,18,10,7
Marlborough,480000,440000,398600,20,9,10
Marshfield,627500,535000,460000,36,17,16
Maynard,497000,421250,412000,21,18,2
Medfield,835000,790000,710000,18,6,11
Medford,750000,670000,630000,19,12,6
Medway,559000,480000,430000,30,16,12
Melrose,775000,729100,653500,19,6,12
Merrimac,577750,503500,417900,38,15,20
Methuen,474000,408450,382000,24,16,7
Middleborough,436250,370000,350000,25,18,6
Middleton,886000,770000,620500,43,15,24
Milford,460000,410000,360000,28,12,14
Millis,585000,480250,460000,27,22,4
Milton,869000,805000,727500,19,8,11
Nahant,820000,745000,616427,33,10,21
Natick,738250,732000,635000,16,1,15
Needham,1320000,1225000,1120000,18,8,9
Newbury,761000,707500,550000,38,8,29
Newburyport,850000,750500,715000,19,13,5
Newton,1525000,1320000,1275000,20,16,4
Norfolk,700000,582500,580000,21,20,0
