 0.1 Unnamed,2013 Median Price,2012 Median Price,One-Year Price % Change,2008 Median Price,Five-Year Price % Change,2003 Median Price,Ten-Year Price % Change,2013 Days on Market,2012 Days on Market,One-Year Days on Market % Change
Abington,285000.0,267000.0,7.0,290000.0,-2.0,281250.0,1.0,89,124,28.0
Acton,481500.0,480000.0,0.0,503600.0,-4.0,474500.0,1.0,73,121,-40.0
Amesbury,302500.0,251600.0,20.0,265250.0,14.0,315850.0,-4.0,112,154,-27.0
Andover,545000.0,505000.0,8.0,525000.0,4.0,490000.0,11.0,71,95,-25.0
Arlington,550000.0,515000.0,7.0,475242.0,16.0,430000.0,28.0,27,41,-34.0
Ashland,350000.0,308250.0,14.0,414900.0,-16.0,381000.0,-8.0,68,104,-35.0
Attleboro,248500.0,224000.0,11.0,264000.0,-6.0,275000.0,-10.0,96,141,-32.0
Avon,267500.0,185500.0,44.0,277000.0,-3.0,276000.0,-3.0,78,99,-21.0
Bedford,579000.0,510000.0,14.0,500000.0,16.0,454500.0,27.0,57,86,-34.0
Belmont,791000.0,689000.0,15.0,682000.0,16.0,650000.0,22.0,44,58,-24.0
Beverly,350000.0,355000.0,-1.0,340000.0,3.0,351000.0,0.0,74,96,-23.0
Billerica,329900.0,303000.0,9.0,305000.0,8.0,318375.0,4.0,84,113,-26.0
Boston,2110000.0,1950000.0,8.0,1413750.0,49.0,1423750.0,48.0,55,90,-39.0
Boxborough,486563.0,490000.0,-1.0,552000.0,-12.0,559450.0,-13.0,74,96,-23.0
Boxford,535000.0,461500.0,16.0,544450.0,-2.0,580000.0,-8.0,129,171,-25.0
Braintree,354500.0,330000.0,7.0,335000.0,6.0,329000.0,8.0,53,88,-40.0
Bridgewater,314000.0,280000.0,12.0,307000.0,2.0,325500.0,-4.0,90,141,-36.0
Brockton,179000.0,150000.0,19.0,187000.0,-4.0,233000.0,-23.0,89,111,-20.0
Brookline,1237500.0,1200000.0,3.0,1006500.0,23.0,853500.0,45.0,80,101,-21.0
Burlington,412000.0,385000.0,7.0,365000.0,13.0,362250.0,14.0,60,93,-36.0
Cambridge,854000.0,810750.0,5.0,750000.0,14.0,630000.0,36.0,35,52,-33.0
Canton,442000.0,382000.0,16.0,439000.0,1.0,415000.0,7.0,84,119,-29.0
Carlisle,667000.0,618100.0,8.0,756500.0,-12.0,716375.0,-7.0,87,183,-53.0
Carver,247950.0,218500.0,13.0,265000.0,-6.0,282500.0,-12.0,95,160,-41.0
Chelmsford,333475.0,315000.0,6.0,325000.0,3.0,330500.0,1.0,76,101,-25.0
Chelsea,237000.0,189500.0,25.0,190000.0,25.0,277000.0,-14.0,72,92,-22.0
Cohasset,857500.0,720000.0,19.0,767500.0,12.0,710000.0,21.0,125,192,-35.0
Concord,810900.0,715000.0,13.0,697500.0,16.0,665000.0,22.0,84,97,-13.0
Danvers,355000.0,342400.0,4.0,355000.0,0.0,355000.0,0.0,74,110,-33.0
Dedham,384500.0,325000.0,18.0,360500.0,7.0,349900.0,10.0,72,89,-19.0
Dover,822000.0,865000.0,-5.0,998500.0,-18.0,859000.0,-4.0,159,170,-7.0
Dracut,260000.0,230000.0,13.0,263000.0,-1.0,269000.0,-3.0,91,133,-32.0
Duxbury,550000.0,542250.0,1.0,592500.0,-7.0,570000.0,-4.0,104,161,-35.0
East Bridgewater,285000.0,255000.0,12.0,299900.0,-5.0,299900.0,-5.0,97,128,-24.0
Easton,371000.0,364157.0,2.0,350000.0,6.0,368000.0,1.0,111,147,-25.0
Essex,400000.0,302500.0,32.0,415000.0,-4.0,379000.0,6.0,137,221,-38.0
Everett,257750.0,237000.0,9.0,250000.0,3.0,295000.0,-13.0,79,92,-14.0
Foxboro,350000.0,323000.0,8.0,354000.0,-1.0,360000.0,-3.0,84,120,-30.0
Framingham,335000.0,304900.0,10.0,325000.0,3.0,328500.0,2.0,62,94,-34.0
Franklin,350000.0,355000.0,-1.0,385000.0,-9.0,374950.0,-7.0,80,117,-32.0
Georgetown,380000.0,324900.0,17.0,358250.0,6.0,357000.0,6.0,89,118,-25.0
Gloucester,325000.0,347000.0,-6.0,340000.0,-4.0,365400.0,-11.0,105,164,-36.0
Groveland,340000.0,313326.0,9.0,325000.0,5.0,351250.0,-3.0,100,135,-26.0
Halifax,277250.0,243200.0,14.0,266500.0,4.0,315000.0,-12.0,108,131,-18.0
Hamilton,470000.0,369900.0,27.0,480000.0,-2.0,479000.0,-2.0,103,150,-31.0
Hanover,388000.0,399900.0,-3.0,382500.0,1.0,410000.0,-5.0,81,145,-44.0
Hanson,298700.0,255000.0,17.0,280700.0,6.0,295000.0,1.0,112,138,-19.0
Haverhill,250000.0,220000.0,14.0,262000.0,-5.0,279000.0,-10.0,94,119,-21.0
Hingham,653000.0,650000.0,0.0,632500.0,3.0,599000.0,9.0,113,124,-9.0
Holbrook,242500.0,225000.0,8.0,236900.0,2.0,260000.0,-7.0,67,133,-50.0
Holliston,381000.0,359950.0,6.0,350000.0,9.0,359000.0,6.0,65,104,-38.0
Hopkinton,520000.0,535000.0,-3.0,557750.0,-7.0,475000.0,9.0,78,104,-25.0
Hudson,272000.0,265000.0,3.0,290000.0,-6.0,302750.0,-10.0,84,130,-35.0
Hull,334500.0,300000.0,12.0,345000.0,-3.0,339900.0,-2.0,120,143,-16.0
Ipswich,434500.0,328000.0,32.0,407500.0,7.0,416000.0,4.0,128,160,-20.0
Kingston,335000.0,258000.0,30.0,340000.0,-1.0,330000.0,2.0,141,170,-17.0
Lakeville,260000.0,248250.0,5.0,310000.0,-16.0,309900.0,-16.0,109,167,-35.0
Lawrence,180000.0,141300.0,27.0,164950.0,9.0,209900.0,-14.0,88,116,-24.0
Lexington,820000.0,725000.0,13.0,700000.0,17.0,621100.0,32.0,54,86,-37.0
Lincoln,1037500.0,850000.0,22.0,1045000.0,-1.0,983723.0,5.0,142,148,-4.0
Littleton,391250.0,354000.0,11.0,370000.0,6.0,372500.0,5.0,81,124,-35.0
Lowell,219750.0,185000.0,19.0,194950.0,13.0,229500.0,-4.0,95,114,-17.0
Lynn,219111.0,180000.0,22.0,206250.0,6.0,250000.0,-12.0,86,118,-27.0
Lynnfield,510000.0,433000.0,18.0,487000.0,5.0,471250.0,8.0,81,121,-33.0
Malden,315000.0,278000.0,13.0,290000.0,9.0,308000.0,2.0,59,84,-30.0
Manchester,693500.0,692500.0,0.0,730000.0,-5.0,690000.0,1.0,121,184,-34.0
Mansfield,354900.0,342400.0,4.0,380000.0,-7.0,363750.0,-2.0,65,99,-34.0
Marblehead,526000.0,480000.0,10.0,510000.0,3.0,485000.0,8.0,95,144,-34.0
Marlborough,290000.0,250750.0,16.0,300000.0,-3.0,315000.0,-8.0,73,130,-44.0
Marshfield,362000.0,328500.0,10.0,380000.0,-5.0,369950.0,-2.0,108,140,-23.0
Maynard,319500.0,274500.0,16.0,318000.0,0.0,295000.0,8.0,82,132,-38.0
Medfield,573000.0,590000.0,-3.0,540000.0,6.0,477000.0,20.0,93,121,-23.0
Medford,395000.0,355000.0,11.0,350000.0,13.0,358500.0,10.0,38,72,-47.0
Medway,370000.0,315000.0,17.0,344000.0,8.0,360000.0,3.0,82,97,-16.0
Melrose,430000.0,403000.0,7.0,401500.0,7.0,398900.0,8.0,42,69,-39.0
Merrimac,279200.0,290000.0,-4.0,375000.0,-26.0,300625.0,-7.0,130,136,-4.0
Methuen,250000.0,235000.0,6.0,255000.0,-2.0,275000.0,-9.0,86,97,-11.0
Middleborough,259900.0,225000.0,16.0,285000.0,-9.0,279900.0,-7.0,110,128,-14.0
Middleton,467000.0,456950.0,2.0,417500.0,12.0,529900.0,-12.0,110,126,-13.0
Milford,264500.0,239900.0,10.0,275000.0,-4.0,300000.0,-12.0,80,97,-18.0
Millis,340000.0,306000.0,11.0,332500.0,2.0,356500.0,-5.0,85,112,-24.0
Milton,492500.0,450000.0,9.0,456000.0,8.0,441500.0,12.0,72,102,-30.0
Nahant,432500.0,388850.0,11.0,450000.0,-4.0,419000.0,3.0,158,193,-18.0
