Town,pr2013,pr2012,pc1y,pr2008,pc5y,pr2003,pc10y,dm2013,dm2012,dc1y
Abington,285000,267000,7,290000,2,281250,1,89,124,28
Acton,481500,480000,0,503600,4,474500,1,73,121,40
Amesbury,302500,251600,20,265250,14,315850,4,112,154,27
Andover,545000,505000,8,525000,4,490000,11,71,95,25
Arlington,550000,515000,7,475242,16,430000,28,27,41,34
Ashland,350000,308250,14,414900,16,381000,8,68,104,35
Attleboro,248500,224000,11,264000,6,275000,10,96,141,32
Avon,267500,185500,44,277000,3,276000,3,78,99,21
Bedford,579000,510000,14,500000,16,454500,27,57,86,34
Belmont,791000,689000,15,682000,16,650000,22,44,58,24
Beverly,350000,355000,1,340000,3,351000,0,74,96,23
Billerica,329900,303000,9,305000,8,318375,4,84,113,26
Boston,2110000,1950000,8,1413750,49,1423750,48,55,90,39
Boxborough,486563,490000,1,552000,12,559450,13,74,96,23
Boxford,535000,461500,16,544450,2,580000,8,129,171,25
Braintree,354500,330000,7,335000,6,329000,8,53,88,40
Bridgewater,314000,280000,12,307000,2,325500,4,90,141,36
Brockton,179000,150000,19,187000,4,233000,23,89,111,20
Brookline,1237500,1200000,3,1006500,23,853500,45,80,101,21
Burlington,412000,385000,7,365000,13,362250,14,60,93,36
Cambridge,854000,810750,5,750000,14,630000,36,35,52,33
Canton,442000,382000,16,439000,1,415000,7,84,119,29
Carlisle,667000,618100,8,756500,12,716375,7,87,183,53
Carver,247950,218500,13,265000,6,282500,12,95,160,41
Chelmsford,333475,315000,6,325000,3,330500,1,76,101,25
Chelsea,237000,189500,25,190000,25,277000,14,72,92,22
Cohasset,857500,720000,19,767500,12,710000,21,125,192,35
Concord,810900,715000,13,697500,16,665000,22,84,97,13
Danvers,355000,342400,4,355000,0,355000,0,74,110,33
Dedham,384500,325000,18,360500,7,349900,10,72,89,19
Dover,822000,865000,5,998500,18,859000,4,159,170,7
Dracut,260000,230000,13,263000,1,269000,3,91,133,32
Duxbury,550000,542250,1,592500,7,570000,4,104,161,35
East Bridgewater,285000,255000,12,299900,5,299900,5,97,128,24
Easton,371000,364157,2,350000,6,368000,1,111,147,25
Essex,400000,302500,32,415000,4,379000,6,137,221,38
Everett,257750,237000,9,250000,3,295000,13,79,92,14
Foxboro,350000,323000,8,354000,1,360000,3,84,120,30
Framingham,335000,304900,10,325000,3,328500,2,62,94,34
Franklin,350000,355000,1,385000,9,374950,7,80,117,32
Georgetown,380000,324900,17,358250,6,357000,6,89,118,25
Gloucester,325000,347000,6,340000,4,365400,11,105,164,36
Groveland,340000,313326,9,325000,5,351250,3,100,135,26
Halifax,277250,243200,14,266500,4,315000,12,108,131,18
Hamilton,470000,369900,27,480000,2,479000,2,103,150,31
Hanover,388000,399900,3,382500,1,410000,5,81,145,44
Hanson,298700,255000,17,280700,6,295000,1,112,138,19
Haverhill,250000,220000,14,262000,5,279000,10,94,119,21
Hingham,653000,650000,0,632500,3,599000,9,113,124,9
Holbrook,242500,225000,8,236900,2,260000,7,67,133,50
Holliston,381000,359950,6,350000,9,359000,6,65,104,38
Hopkinton,520000,535000,3,557750,7,475000,9,78,104,25
Hudson,272000,265000,3,290000,6,302750,10,84,130,35
Hull,334500,300000,12,345000,3,339900,2,120,143,16
Ipswich,434500,328000,32,407500,7,416000,4,128,160,20
Kingston,335000,258000,30,340000,1,330000,2,141,170,17
Lakeville,260000,248250,5,310000,16,309900,16,109,167,35
Lawrence,180000,141300,27,164950,9,209900,14,88,116,24
Lexington,820000,725000,13,700000,17,621100,32,54,86,37
Lincoln,1037500,850000,22,1045000,1,983723,5,142,148,4
Littleton,391250,354000,11,370000,6,372500,5,81,124,35
Lowell,219750,185000,19,194950,13,229500,4,95,114,17
Lynn,219111,180000,22,206250,6,250000,12,86,118,27
Lynnfield,510000,433000,18,487000,5,471250,8,81,121,33
Malden,315000,278000,13,290000,9,308000,2,59,84,30
Manchester,693500,692500,0,730000,5,690000,1,121,184,34
Mansfield,354900,342400,4,380000,7,363750,2,65,99,34
Marblehead,526000,480000,10,510000,3,485000,8,95,144,34
Marlborough,290000,250750,16,300000,3,315000,8,73,130,44
Marshfield,362000,328500,10,380000,5,369950,2,108,140,23
Maynard,319500,274500,16,318000,0,295000,8,82,132,38
Medfield,573000,590000,3,540000,6,477000,20,93,121,23
Medford,395000,355000,11,350000,13,358500,10,38,72,47
Medway,370000,315000,17,344000,8,360000,3,82,97,16
Melrose,430000,403000,7,401500,7,398900,8,42,69,39
Merrimac,279200,290000,4,375000,26,300625,7,130,136,4
Methuen,250000,235000,6,255000,2,275000,9,86,97,11
Middleborough,259900,225000,16,285000,9,279900,7,110,128,14
Middleton,467000,456950,2,417500,12,529900,12,110,126,13
Milford,264500,239900,10,275000,4,300000,12,80,97,18
Millis,340000,306000,11,332500,2,356500,5,85,112,24
Milton,492500,450000,9,456000,8,441500,12,72,102,30
Nahant,432500,388850,11,450000,4,419000,3,158,193,18
