,Neighborhood / Town,2015 Median Price,2014 Median Price,One-Year Change,2010 Median Price,Five-Year Change,2005 Median Price,Ten-Year Change,2015 Days on Market,2015 No. of Sales,2015 Best Schools Ranking
0,Abington,"$319,450","$310,000",3%,"$605,000",-47%,"$354,950",-10%,83.0,152.0,109.0
1,Acton,"$566,750","$557,944",2%,"$532,500",6%,"$614,116",-8%,71.0,242.0,25.0
2,Amesbury,"$325,500","$304,499",7%,"$291,000",12%,"$375,000",-13%,100.0,164.0,76.0
3,Andover,"$615,000","$579,000",6%,"$521,500",18%,"$597,250",3%,80.0,362.0,26.0
4,Arlington,"$640,750","$625,000",3%,"$500,000",28%,"$503,000",27%,29.0,306.0,37.0
5,Ashland,"$400,000","$390,000",3%,"$359,900",11%,"$446,000",-10%,55.0,125.0,47.0
6,Avon,"$236,500","$269,900",-12%,"$270,000",-12%,"$334,250",-29%,102.0,52.0,93.0
7,Bedford,"$675,000","$615,000",10%,"$547,500",23%,"$530,000",27%,66.0,147.0,5.0
8,Belmont,"$909,750","$950,000",-4%,"$703,000",29%,"$709,500",28%,56.0,156.0,45.0
9,Beverly,"$395,000","$375,000",5%,"$339,000",17%,"$391,750",1%,75.0,345.0,90.0
10,Billerica,"$369,000","$352,750",5%,"$321,250",15%,"$377,500",-2%,69.0,372.0,88.0
11,Boston - Citywide,"$475,000","$450,000",6%,"$360,000",32%,"$400,000",19%,53.0,995.0,116.0
12,Boston - Allston,"$773,000","$520,000",49%,"$442,500",75%,"$479,575",0%,24.0,1.0,
13,Boston - Back Bay,"$6,350,000","$7,375,000",-14%,"$2,656,222",139%,"$2,725,000",133%,98.0,9.0,
14,Boston - Bay Village / South End,"$2,525,000","$2,499,500",1%,"$1,640,000",54%,"$1,235,000",104%,39.0,27.0,
15,Boston - Beacon Hill,"$2,892,750","$3,175,000",-9%,"$2,400,000",21%,"$1,980,000",46%,139.0,21.0,
16,Boston - Brighton,"$582,500","$530,000",10%,"$402,000",45%,"$500,000",17%,39.0,28.0,
17,Boston - Charlestown,"$895,000","$819,500",9%,"$702,500",27%,"$675,000",33%,42.0,61.0,
18,Boston - Chinatown / Leather District,,,,,,,,,,
19,Boston - Dorchester,"$400,000","$389,000",3%,"$277,000",44%,"$360,000",11%,64.0,65.0,
20,Boston - East Boston,"$331,750","$325,538",2%,"$224,750",48%,"$330,000",1%,80.0,20.0,
21,Boston - Fenway,"$2,112,500",,,,,,,89.0,2.0,
22,Boston - Hyde Park,"$359,000","$330,000",9%,"$278,250",29%,"$357,700",0%,66.0,83.0,
23,Boston - Jamaica Plain,"$820,000","$743,000",10%,"$515,000",59%,"$505,000",62%,33.0,73.0,
24,Boston - Mattapan,"$291,500","$252,000",16%,"$199,900",46%,"$320,000",-9%,62.0,24.0,
25,Boston - North End/West End,,,,,,,,,,
26,Boston - Roslindale,"$450,000","$422,250",7%,"$323,250",39%,"$381,000",18%,41.0,113.0,
27,Boston - Roxbury,"$307,500","$488,000",-37%,"$180,000",71%,"$345,000",-11%,102.0,8.0,
28,Boston - South Boston,"$577,000","$554,500",4%,"$446,500",29%,"$426,550",35%,66.0,38.0,
29,Boston - West Roxbury,"$465,000","$445,500",4%,"$416,000",12%,"$456,500",2%,48.0,214.0,
30,Boxborough,"$609,000","$640,000",-5%,"$450,000",35%,"$656,450",-7%,56.0,55.0,25.0
31,Boxford,"$585,000","$585,000",0%,"$536,250",9%,"$655,000",-11%,106.0,107.0,24.0
32,Braintree,"$407,750","$373,713",9%,"$340,000",20%,"$382,000",7%,59.0,282.0,53.0
33,Bridgewater,"$329,900","$321,500",3%,"$298,950",10%,"$379,900",-13%,81.0,208.0,100.0
34,Brockton,"$223,500","$205,000",9%,"$175,000",28%,"$278,000",-20%,86.0,740.0,122.0
35,Brookline,"$1,625,000","$1,570,000",4%,"$1,156,750",40%,"$1,120,000",45%,71.0,175.0,20.0
36,Burlington,"$485,000","$455,500",6%,"$387,750",25%,"$415,000",17%,68.0,201.0,39.0
37,Cambridge,"$1,343,500","$1,250,359",7%,"$859,000",56%,"$816,250",65%,32.0,112.0,31.0
38,Canton,"$493,000","$479,950",3%,"$435,000",13%,"$525,000",-6%,88.0,195.0,56.0
39,Carlisle,"$827,500","$790,000",5%,"$660,000",25%,"$889,000",-7%,99.0,64.0,6.0
40,Carver,"$298,000","$274,500",9%,"$255,000",17%,"$350,000",-15%,121.0,146.0,97.0
41,Chelmsford,"$388,043","$370,000",5%,"$346,500",12%,"$373,700",4%,62.0,311.0,46.0
42,Chelsea,"$307,500","$262,000",17%,"$200,000",54%,"$307,000",0%,89.0,34.0,125.0
43,Cohasset,"$814,000","$750,000",9%,"$760,000",7%,"$768,000",6%,116.0,111.0,33.0
44,Concord,"$960,000","$970,000",-1%,"$700,000",37%,"$749,900",28%,83.0,191.0,6.0
45,Danvers,"$407,450","$362,000",13%,"$331,000",23%,"$405,000",1%,68.0,230.0,74.0
46,Dedham,"$410,000","$393,250",4%,"$351,250",17%,"$409,950",0%,68.0,273.0,57.0
47,Dover,"$979,444","$954,000",3%,"$848,800",15%,"$1,007,000",-3%,171.0,78.0,1.0
48,Duxbury,"$590,000","$589,938",0%,"$555,000",6%,"$617,500",-4%,124.0,195.0,38.0
49,East Bridgewater,"$290,000","$285,000",2%,"$265,000",9%,"$359,400",-19%,103.0,140.0,103.0
50,Easton,"$415,000","$410,000",1%,"$406,200",2%,"$435,500",-5%,107.0,202.0,64.0
51,Essex,"$519,000","$500,000",4%,"$552,500",-6%,"$697,500",-26%,139.0,45.0,16.0
52,Everett,"$319,000","$283,500",13%,"$231,000",38%,"$350,000",-9%,73.0,99.0,121.0
53,Foxboro,"$384,500","$367,500",5%,"$357,000",8%,"$400,000",-4%,94.0,166.0,35.0
54,Framingham,"$373,000","$349,000",7%,"$305,500",22%,"$386,500",-3%,56.0,625.0,70.0
55,Franklin,"$405,000","$405,000",0%,"$377,000",7%,"$439,900",-8%,70.0,268.0,51.0
56,Georgetown,"$405,000","$403,689",0%,"$401,000",1%,"$459,900",-12%,79.0,106.0,62.0
57,Gloucester,"$375,000","$380,500",-1%,"$319,000",18%,"$399,000",-6%,96.0,208.0,94.0
58,Groveland,"$370,500","$344,250",8%,"$300,000",24%,"$395,500",-6%,81.0,76.0,54.0
59,Halifax,"$294,000","$290,000",1%,"$260,000",13%,"$330,000",-11%,113.0,89.0,82.0
60,Hamilton,"$493,500","$473,000",4%,"$428,000",15%,"$539,000",-8%,99.0,86.0,23.0
61,Hanover,"$454,500","$450,000",1%,"$438,000",4%,"$462,500",-2%,83.0,150.0,52.0
62,Hanson,"$326,000","$295,000",11%,"$288,500",13%,"$363,675",-10%,105.0,123.0,110.0
63,Haverhill,"$288,000","$274,000",5%,"$251,000",15%,"$330,000",-13%,82.0,457.0,114.0
64,Hingham,"$767,000","$662,500",16%,"$670,000",14%,"$665,000",15%,100.0,257.0,30.0
65,Holbrook,"$264,000","$255,000",4%,"$236,000",12%,"$325,000",-19%,67.0,135.0,111.0
66,Holliston,"$472,000","$445,450",6%,"$380,000",24%,"$449,500",5%,80.0,191.0,14.0
67,Hopkinton,"$632,253","$582,433",9%,"$525,000",20%,"$582,450",9%,86.0,208.0,28.0
68,Hudson,"$326,000","$307,500",6%,"$286,750",14%,"$364,250",-11%,71.0,170.0,81.0
69,Hull,"$350,000","$355,000",-1%,"$296,000",18%,"$384,000",-9%,113.0,117.0,71.0
70,Ipswich,"$477,500","$458,750",4%,"$387,500",23%,"$526,950",-9%,107.0,132.0,59.0
71,Kingston,"$379,000","$361,450",5%,"$336,000",13%,"$385,000",-2%,134.0,177.0,82.0
72,Lawrence,"$209,900","$189,000",11%,"$165,250",27%,"$249,700",-16%,80.0,205.0,124.0
73,Lexington,"$1,000,000","$1,050,000",-5%,"$745,000",34%,"$725,000",38%,68.0,387.0,3.0
74,Lincoln,"$1,050,000","$1,100,000",-5%,"$1,020,000",3%,"$1,200,000",-13%,103.0,47.0,13.0
75,Littleton,"$486,900","$442,500",10%,"$400,000",22%,"$481,000",1%,95.0,136.0,44.0
76,Lowell,"$245,000","$231,000",6%,"$195,000",26%,"$279,900",-12%,83.0,432.0,117.0
77,Lynn,"$266,000","$246,000",8%,"$196,000",36%,"$293,000",-9%,68.0,549.0,123.0
78,Lynnfield,"$600,500","$542,500",11%,"$529,000",14%,"$580,000",4%,76.0,144.0,36.0
