,Neighborhood / Town,2016 Median Price,2015 Median Price,2011 Median Price,2006 Median Price,One-Year Change,Five-Year Change,Ten-Year Change,2016 Days on Market,2015 Days on Market,One-Year Change.1,2016 No. of Sales,2015 No. of Sales,One-Year Change.2
0,Abington,"$345,000","$319,450","$270,000","$320,000",8%,28%,8%,56,83.0,-33%,163.0,152.0,7%
1,Acton,"$598,500","$566,750","$555,000","$567,500",6%,8%,5%,69,71.0,-3%,247.0,242.0,2%
2,Amesbury,"$331,000","$325,500","$293,500","$345,000",2%,13%,-4%,77,100.0,-23%,189.0,164.0,15%
3,Andover,"$608,450","$615,000","$515,000","$548,000",-1%,18%,11%,72,80.0,-10%,368.0,362.0,2%
4,Arlington,"$710,000","$640,750","$517,500","$491,500",11%,37%,44%,26,29.0,-10%,285.0,306.0,-7%
5,Ashland,"$420,000","$400,000","$368,000","$441,000",5%,14%,-5%,43,55.0,-22%,147.0,125.0,18%
6,Avon,"$312,000","$236,500","$226,750","$315,000",32%,38%,-1%,82,102.0,-20%,56.0,52.0,8%
7,Bedford,"$705,000","$675,000","$510,000","$525,500",4%,38%,34%,57,66.0,-14%,149.0,147.0,1%
8,Belmont,"$1,010,000","$909,750","$697,500","$749,500",11%,45%,35%,49,56.0,-13%,121.0,156.0,-22%
9,Beverly,"$435,000","$395,000","$325,500","$383,000",10%,34%,14%,66,75.0,-12%,358.0,345.0,4%
10,Billerica,"$393,000","$369,000","$300,000","$355,000",7%,31%,11%,57,69.0,-17%,429.0,372.0,15%
11,Boston - Citywide,"$530,000","$475,000","$359,900","$380,000",12%,47%,39%,51,53.0,-4%,1026.0,995.0,3%
12,Boston - Allston,"$745,000","$773,000","$432,212","$448,000",-4%,72%,66%,17,24.0,-29%,3.0,1.0,200%
13,Boston - Back Bay,"$4,285,000","$6,350,000","$3,800,000","$3,600,000",-33%,13%,19%,132,98.0,35%,6.0,9.0,-33%
14,Boston - Bay Village / South End,"$1,144,000","$2,525,000","$1,310,000",,-55%,-13%,,42,39.0,8%,1.0,27.0,-96%
15,Boston - Beacon Hill,"$3,050,000",,"$2,200,000","$2,102,500",,39%,45%,17%,,,17.0,,
16,Boston - Brighton,"$687,500","$582,500","$370,000","$449,500",18%,86%,53%,43,39.0,10%,26.0,28.0,-7%
17,Boston - Charlestown,"$1,200,000","$895,000","$635,000","$640,500",34%,89%,87%,42,42.0,0%,53.0,61.0,-13%
18,Boston - Chinatown / Leather District,"$1,225,000",,,,,,,22,,,1.0,,
19,Boston - Dorchester,"$440,000","$400,000","$241,000","$348,500",10%,83%,26%,49,64.0,-23%,71.0,65.0,9%
20,Boston - East Boston,"$402,500","$331,750","$160,000","$314,500",21%,152%,28%,38,80.0,-53%,16.0,20.0,-20%
21,Boston - Fenway,,"$2,112,500","$1,125,000",,,,,,89.0,,,2.0,
22,Boston - Hyde Park,"$385,500","$359,000","$240,000","$347,250",7%,61%,11%,54,66.0,-18%,94.0,83.0,13%
23,Boston - Jamaica Plain,"$782,500","$820,000","$577,500","$533,000",-5%,35%,47%,47,33.0,42%,82.0,73.0,12%
24,Boston - Mattapan,"$336,500","$291,500","$200,000","$300,000",15%,68%,12%,61,62.0,-2%,26.0,24.0,8%
25,Boston - North End / West End,,,"$600,000","$681,250",,,,,,,,,
26,Boston - Roslindale,"$500,500","$450,000","$338,000","$365,750",11%,48%,37%,43,41.0,5%,105.0,113.0,-7%
27,Boston - Roxbury,"$476,250","$307,500","$230,000","$285,000",55%,107%,67%,75,102.0,-26%,10.0,8.0,25%
28,Boston - South Boston,"$700,000","$577,000","$400,000","$385,000",21%,75%,82%,36,66.0,-45%,52.0,38.0,37%
29,Boston - West Roxbury,"$525,000","$465,000","$385,000","$414,500",13%,36%,27%,46,48.0,-4%,203.0,214.0,-5%
30,Boxborough,"$615,000","$609,000","$562,500","$591,000",1%,9%,4%,69,56.0,23%,53.0,55.0,-4%
31,Boxford,"$650,000","$585,000","$525,000","$585,000",11%,24%,11%,108,106.0,2%,131.0,107.0,22%
32,Braintree,"$435,750","$407,750","$319,750","$380,000",7%,36%,15%,46,59.0,-22%,304.0,282.0,8%
33,Bridgewater,"$357,000","$329,900","$277,500","$385,000",8%,29%,-7%,66,81.0,-19%,232.0,208.0,12%
34,Brockton,"$245,000","$223,500","$160,000","$275,005",10%,53%,-11%,70,86.0,-19%,949.0,740.0,28%
35,Brookline,"$1,635,000","$1,625,000","$1,205,000","$1,000,000",1%,36%,64%,65,71.0,-8%,168.0,175.0,-4%
36,Burlington,"$500,000","$485,000","$362,750","$407,500",3%,38%,23%,73,68.0,7%,227.0,201.0,13%
37,Cambridge,"$1,452,500","$1,343,500","$782,000","$808,825",8%,86%,80%,33,32.0,3%,96.0,112.0,-14%
38,Canton,"$523,450","$493,000","$427,500","$480,000",6%,22%,9%,81,88.0,-8%,232.0,195.0,19%
39,Carlisle,"$812,375","$827,500","$614,750","$800,000",-2%,32%,2%,100,99.0,1%,94.0,64.0,47%
40,Carver,"$324,900","$298,000","$225,000","$323,667",9%,44%,0%,89,121.0,-26%,130.0,146.0,-11%
41,Chelmsford,"$390,000","$388,043","$315,000","$375,500",1%,24%,4%,66,62.0,6%,348.0,311.0,12%
42,Chelsea,"$349,500","$307,500","$215,450","$340,000",14%,62%,3%,58,89.0,-35%,38.0,34.0,12%
43,Cohasset,"$895,000","$814,000","$698,500","$875,000",10%,28%,2%,123,116.0,6%,136.0,111.0,23%
44,Concord,"$950,000","$960,000","$730,800","$872,000",-1%,30%,9%,90,83.0,8%,221.0,191.0,16%
45,Danvers,"$421,000","$407,450","$329,950","$413,500",3%,28%,2%,54,68.0,-21%,219.0,230.0,-5%
46,Dedham,"$436,750","$410,000","$327,000","$379,250",7%,34%,15%,52,68.0,-24%,266.0,273.0,-3%
47,Dover,"$1,063,500","$979,444","$945,000","$940,000",9%,13%,13%,139,171.0,-19%,108.0,78.0,38%
48,Duxbury,"$619,000","$590,000","$534,500","$592,700",5%,16%,4%,103,124.0,-17%,233.0,195.0,19%
49,East Bridgewater,"$321,450","$290,000","$239,900","$340,000",11%,34%,-5%,71,103.0,-31%,146.0,140.0,4%
50,Easton,"$405,000","$415,000","$374,500","$420,000",-2%,8%,-4%,83,107.0,-22%,207.0,202.0,2%
51,Essex,"$781,375","$519,000","$507,000","$507,500",51%,54%,54%,116,139.0,-17%,46.0,45.0,2%
52,Everett,"$360,000","$319,000","$222,000","$345,000",13%,62%,4%,52,73.0,-29%,114.0,99.0,15%
53,Foxboro,"$400,000","$384,500","$356,000","$393,750",4%,12%,2%,65,94.0,-31%,163.0,166.0,-2%
54,Framingham,"$400,000","$373,000","$295,250","$375,000",7%,35%,7%,51,56.0,-9%,584.0,625.0,-7%
55,Franklin,"$412,500","$405,000","$365,000","$454,000",2%,13%,-9%,78,70.0,11%,281.0,268.0,5%
56,Georgetown,"$375,000","$405,000","$347,500","$405,450",-7%,8%,-8%,74,79.0,-6%,102.0,106.0,-4%
57,Gloucester,"$393,000","$375,000","$340,000","$402,500",5%,16%,-2%,96,96.0,0%,221.0,208.0,6%
58,Groveland,"$385,900","$370,500","$287,000","$372,000",4%,34%,4%,70,81.0,-14%,79.0,76.0,4%
59,Halifax,"$367,450","$294,000","$243,000","$315,000",25%,51%,17%,98,113.0,-13%,76.0,89.0,-15%
60,Hamilton,"$549,500","$493,500","$384,500","$510,000",11%,43%,8%,115,99.0,16%,94.0,86.0,9%
61,Hanover,"$467,000","$454,500","$412,000","$445,000",3%,13%,5%,82,83.0,-1%,168.0,150.0,12%
62,Hanson,"$327,900","$326,000","$247,500","$343,750",1%,32%,-5%,79,105.0,-25%,127.0,123.0,3%
63,Haverhill,"$309,000","$288,000","$235,000","$320,900",7%,31%,-4%,70,82.0,-15%,486.0,457.0,6%
64,Hingham,"$715,000","$767,000","$631,000","$638,700",-7%,13%,12%,83,100.0,-17%,259.0,257.0,1%
65,Holbrook,"$295,000","$264,000","$225,000","$309,000",12%,31%,-5%,51,67.0,-24%,138.0,135.0,2%
66,Holliston,"$421,000","$472,000","$390,000","$395,000",-11%,8%,7%,78,80.0,-3%,196.0,191.0,3%
67,Hopkinton,"$643,950","$632,253","$524,800","$605,500",2%,23%,6%,88,86.0,2%,254.0,208.0,22%
68,Hudson,"$350,000","$326,000","$264,500","$348,750",7%,32%,0%,53,71.0,-25%,158.0,170.0,-7%
69,Hull,"$385,000","$350,000","$310,000","$384,900",10%,24%,0%,89,113.0,-21%,150.0,117.0,28%
70,Ipswich,"$537,250","$477,500","$370,000","$502,550",13%,45%,7%,96,107.0,-10%,126.0,132.0,-5%
71,Kingston,"$400,000","$379,000","$310,000","$385,000",6%,29%,4%,113,134.0,-16%,191.0,177.0,8%
72,Lawrence,"$231,550","$209,900","$150,000","$247,950",10%,54%,-7%,76,80.0,-5%,220.0,205.0,7%
73,Lexington,"$1,072,500","$1,000,000","$746,250","$720,000",7%,44%,49%,66,68.0,-3%,354.0,387.0,-9%
74,Lincoln,"$1,207,500","$1,050,000","$937,500","$941,000",15%,29%,28%,105,103.0,2%,56.0,47.0,19%
75,Littleton,"$491,056","$486,900","$357,000","$405,000",1%,38%,21%,81,95.0,-15%,147.0,136.0,8%
76,Lowell,"$260,000","$245,000","$187,000","$265,000",6%,39%,-2%,73,83.0,-12%,509.0,432.0,18%
77,Lynn,"$292,250","$266,000","$185,000","$285,000",10%,58%,3%,60,68.0,-12%,586.0,549.0,7%
78,Lynnfield,"$635,000","$600,500","$466,750","$530,000",6%,36%,20%,61,76.0,-20%,121.0,144.0,-16%
79,Malden,"$385,000","$360,000","$275,000","$346,000",7%,40%,11%,49,51.0,-4%,211.0,235.0,-10%
80,Manchester,"$926,000","$799,000","$721,250","$825,000",16%,28%,12%,182,165.0,10%,56.0,71.0,-21%
81,Mansfield,"$444,900","$369,000","$354,000","$423,500",21%,26%,5%,52,66.0,-21%,189.0,167.0,13%
82,Marblehead,"$619,000","$596,500","$519,950","$585,000",4%,19%,6%,77,96.0,-20%,248.0,238.0,4%
83,Marlborough,"$335,000","$324,500","$252,750","$352,000",3%,33%,-5%,69,79.0,-13%,297.0,246.0,21%
84,Marshfield,"$405,000","$393,500","$332,950","$404,500",3%,22%,0%,87,103.0,-16%,336.0,280.0,20%
85,Maynard,"$345,000","$338,000","$299,900","$360,000",2%,15%,-4%,62,74.0,-16%,134.0,115.0,17%
86,Medfield,"$687,500","$671,500","$530,000","$584,900",2%,30%,18%,86,80.0,8%,146.0,159.0,-8%
87,Medford,"$515,500","$463,500","$343,250","$390,000",11%,50%,32%,37,42.0,-12%,279.0,296.0,-6%
88,Medway,"$381,250","$405,000","$340,000","$406,000",-6%,12%,-6%,60,78.0,-23%,166.0,149.0,11%
89,Melrose,"$552,000","$504,325","$399,000","$420,000",9%,38%,31%,36,42.0,-14%,267.0,238.0,12%
90,Merrimac,"$420,000","$334,839","$282,500","$359,950",25%,49%,17%,85,93.0,-9%,81.0,76.0,7%
91,Middleborough,"$285,000","$275,000","$237,500","$343,750",4%,20%,-17%,91,93.0,-2%,273.0,223.0,22%
92,Middleton,"$567,550","$602,000","$544,750","$577,500",-6%,4%,-2%,109,83.0,31%,70.0,66.0,6%
93,Milford,"$318,000","$295,000","$247,000","$338,000",8%,29%,-6%,69,75.0,-8%,237.0,227.0,4%
94,Millis,"$401,900","$381,000","$312,500","$383,500",5%,29%,5%,78,80.0,-3%,104.0,100.0,4%
95,Milton,"$625,000","$570,000","$448,000","$465,000",10%,40%,34%,73,77.0,-5%,260.0,267.0,-3%
96,Nahant,"$535,000","$577,000","$437,500","$450,000",-7%,22%,19%,142,128.0,11%,35.0,38.0,-8%
97,Natick,"$553,500","$555,000","$411,000","$435,000",0%,35%,27%,58,59.0,-2%,344.0,339.0,1%
