,Town,Median Price: 2017,Median Price: 2016,Percent Change in Price: One-Year,Percent Change in Price: Five-Year,Percent Change in Price: Ten-Year,Days on Market: 2017,Days on Market: 2016,Days on Market: One-Year Change
0,Abington,"$374,950","$345,000",9%,37%,17%,43,56,-23%
1,Acton,"$617,500","$598,500",3%,21%,12%,44,69,-36%
2,Amesbury,"$365,250","$331,000",10%,39%,0%,51,77,-34%
3,Andover,"$639,900","$608,450",5%,18%,16%,54,72,-25%
4,Arlington,"$750,000","$710,000",6%,44%,59%,23,26,-12%
5,Ashby,"$275,000","$229,900",20%,79%,12%,93,135,-31%
6,Ashland,"$440,000","$420,000",5%,35%,5%,40,43,-7%
7,Attleboro,"$311,450","$310,000",0%,31%,2%,49,78,-37%
8,Avon,"$325,500","$312,000",4%,59%,12%,64,82,-22%
9,Ayer,"$344,900","$325,000",6%,22%,1%,38,85,-55%
10,Bedford,"$711,000","$705,000",1%,28%,37%,48,57,-16%
11,Bellingham,"$320,000","$305,500",5%,28%,4%,58,94,-38%
12,Belmont,"$1,039,000","$1,010,000",3%,%42,51%,41,49,-16%
13,Beverly,"$463,075","$435,000",6%,30%,26%,53,66,-20%
14,Billerica,"$430,000","$393,000",9%,37%,24%,37,57,-35%
15,Boston,"$580,000","$530,000",9%,57%,53%,43,51,-16%
16,Boxborough,"$622,500","$615,000",1%,35%,4%,63,69,-9%
17,Boxford,"$636,500","$650,000",-2%,35%,5%,93,108,-14%
18,Braintree,"$473,000","$435,750",9%,43%,29%,37,46,-20%
19,Bridgewater,"$375,500","$357,000",5%,24%,-1%,51,66,-23%
20,Brockton,"$271,000","$245,000",11%,81%,11%,44,70,-37%
21,Brookline,"$1,912,500","$1,635,000",17%,53%,74%,67,65,3%
22,Burlington,"$555,000","$500,000",11%,43%,33%,60,73,-18%
23,Cambridge,"$1,455,000","$1,452,500",0%,64%,121%,32,33,-3%
24,Canton,"$550,000","$523,450",5%,41%,31%,66,81,-19%
25,Carlisle,"$858,000","$812,375",6%,164%,18%,76,100,-24%
26,Carver,"$315,000","$324,900",-3%,55%,-3%,63,89,-29%
27,Chelmsford,"$423,500","$390,000",9%,32%,18%,47,66,-29%
28,Chelsea,"$371,000","$349,500",6%,77%,28%,27,58,-53%
29,Cohasset,"$945,000","$895,000",6%,31%,20%,129,123,5%
30,Concord,"$1,039,000","$950,000",9%,28%,28%,70,90,-22%
31,Danvers,"$449,000","$421,000",7%,28%,14%,43,54,-20%
32,Dedham,"$486,000","$436,750",11%,47%,34%,43,52,-17%
33,Dover,"$1,147,500","$1,063,500",8%,28%,9%,169,139,22%
34,Dracut,"$345,000","$325,000",6%,37%,17%,49,68,-28%
35,Dunstable,"$520,000","$458,000",14%,23%,26%,90,96,-6%
36,Duxbury,"$671,000","$619,000",8%,24%,5%,88,103,-15%
37,East Bridgewater,"$347,500","$321,450",8%,36%,2%,52,71,-27%
38,Easton,"$447,000","$405,000",10%,19%,13%,66,83,-20%
39,Essex,"$645,000","$781,375",-17%,51%,43%,80,116,-31%
40,Everett,"$409,950","$360,000",14%,71%,33%,36,52,-31%
41,Foxborough,"$430,000","$400,000",8%,27%,4%,52,65,-20%
42,Framingham,"$425,000","$400,000",6%,38%,18%,32,51,-37%
43,Franklin,"$445,000","$412,500",8%,17%,-3%,62,78,-21%
44,Georgetown,"$435,148","$375,000",16%,22%,-4%,57,74,-23%
45,Gloucester,"$457,000","$393,000",16%,27%,21%,83,96,-14%
46,Groton,"$482,500","$476,500",1%,17%,-5%,86,116,-26%
47,Groveland,"$430,000","$385,900",11%,37%,18%,61,70,-13%
48,Halifax,"$329,900","$367,450",-10%,27%,13%,49,98,-50%
49,Hamilton,"$549,900","$549,500",0%,44%,31%,86,115,-25%
50,Hanover,"$500,000","$467,000",7%,22%,7%,75,82,-9%
51,Hanson,"$355,000","$327,900",8%,42%,5%,51,79,-35%
52,Harvard,"$637,500","$599,850",6%,29%,16%,114,115,-1%
53,Haverhill,"$320,000","$309,000",4%,39%,7%,44,70,-37%
54,Hingham,"$799,000","$715,000",12%,20%,27%,69,83,-17%
55,Holbrook,"$315,500","$295,000",7%,41%,10%,40,51,-22%
56,Holliston,"$465,750","$421,000",11%,25%,19%,69,78,-12%
57,Hopkinton,"$649,000","$643,950",1%,16%,12%,62,88,-30%
58,Hudson,"$359,900","$350,000",3%,36%,2%,38,53,-28%
59,Hull,"$420,500","$385,000",9%,40%,17%,66,89,-26%
60,Ipswich,"$551,250","$537,250",3%,30%,16%,79,96,-18%
61,Kingston,"$460,500","$400,000",15%,62%,35%,90,113,-20%
62,Lakeville,"$355,000","$357,000",-1%,35%,-5%,67,95,-29%
63,Lawrence,"$255,450","$231,550",10%,78%,19%,45,76,-41%
64,Lexington,"$1,150,000","$1,072,500",7%,44%,65%,56,66,-15%
65,Lincoln,"$1,072,500","$1,207,500",-11%,25%,-4%,128,105,22%
66,Littleton,"$488,000","$491,056",-1%,30%,18%,58,81,-28%
67,Lowell,"$288,000","$260,000",11%,54%,16%,48,73,-34%
68,Lynn,"$329,900","$292,250",13%,76%,30%,38,60,-37%
69,Lynnfield,"$642,500","$635,000",1%,37%,15%,52,61,-15%
70,Malden,"$455,000","$385,000",18%,59%,40%,27,49,-45%
71,Manchester-by-the-Sea,"$866,500","$926,000",-6%,22%,25%,123,182,-32%
72,Mansfield,"$450,000","$444,900",1%,29%,17%,50,52,-4%
73,Marblehead,"$662,500","$619,000",7%,36%,22%,72,77,-6%
74,Marlboro,"$360,000","$335,000",7%,38%,8%,52,69,-25%
75,Marshfield,"$470,000","$405,000",16%,34%,15%,71,87,-18%
76,Maynard,"$385,000","$345,000",12%,41%,16%,41,62,-34%
77,Medfield,"$681,000","$687,500",-1%,13%,24%,64,86,-26%
78,Medford,"$597,000","$515,500",16%,66%,55%,25,37,-32%
79,Medway,"$408,000","$381,250",7%,21%,6%,46,60,-23%
80,Melrose,"$617,000","$552,000",12%,54%,52%,29,36,-19%
81,Merrimac,"$432,450","$420,000",3%,36%,20%,82,85,-4%
82,Methuen,"$342,000","$308,500",11%,40%,18%,44,63,-30%
83,Middleboro,"$299,000","$285,000",5%,30%,-4%,67,91,-26%
84,Middleton,"$645,000","$567,550",14%,29%,31%,62,109,-43%
85,Milford,"$331,000","$318,000",4%,34%,1%,46,69,-33%
86,Millis,"$450,000","$401,900",12%,46%,25%,63,78,-19%
87,Milton,"$646,500","$625,000",3%,39%,47%,46,73,-37%
