,City/Town,2019 Median Price,2018 Median Price,One-Year % Change in Price,Five-Year % Change in Price,Ten-Year % Change in Price,2019 DOM,2018 DOM,One-Year Change
0,Abington,"$411,099","$395,000",4%,24%,39%,46.0,41.0,12%
1,Acton,"$640,932","$650,000",-1%,9%,13%,52.0,43.0,21%
2,Amesbury,"$448,377","$390,950",15%,34%,33%,52.0,52.0,0%
3,Andover,"$734,152","$663,000",11%,14%,24%,60.0,51.0,18%
4,Arlington,"$893,616","$805,000",11%,155%,72%,28.0,21.0,33%
5,Ashby,"$296,438","$282,000",5%,33%,45%,72.0,62.0,16%
6,Ashland,"$512,857","$465,000",10%,24%,44%,35.0,32.0,9%
7,Attleboro,"$364,267","$332,500",10%,31%,35%,49.0,51.0,-4%
8,Avon,"$359,318","$349,500",3%,32%,48%,43.0,45.0,-4%
9,Ayer,"$387,906","$360,000",8%,29%,28%,50.0,50.0,0%
10,Bedford,"$928,313","$729,000",27%,29%,55%,54.0,49.0,10%
11,Bellingham,"$366,899","$337,000",9%,23%,30%,45.0,42.0,7%
12,Belmont,"$1,265,268","$1,160,000",9%,25%,66%,40.0,22.0,82%
13,Beverly,"$612,852","$468,200",31%,32%,35%,48.0,45.0,7%
14,Billerica,"$485,370","$450,000",8%,31%,48%,47.0,40.0,18%
15,Boston,"$880,558","$615,000",43%,23%,91%,43.0,38.0,13%
16,Boxborough,"$757,839","$675,000",12%,15%,33%,69.0,60.0,15%
17,Boxford,"$728,837","$687,500",6%,10%,20%,56.0,107.0,-48%
18,Braintree,"$550,518","$498,000",11%,34%,49%,41.0,37.0,11%
19,Bridgewater,"$410,547","$390,000",5%,25%,31%,67.0,51.0,31%
20,Brockton,"$319,682","$295,000",8%,49%,81%,45.0,44.0,2%
21,Brookline,"$2,130,747","$1,777,500",20%,16%,52%,56.0,57.0,-2%
22,Burlington,"$666,547","$583,000",14%,30%,66%,47.0,42.0,12%
23,Cambridge,"$1,972,142","$1,400,000",41%,42%,74%,34.0,27.0,26%
24,Canton,"$636,600","$565,000",13%,19%,32%,52.0,47.0,11%
